Frequency (Hz),Vrms (V)
100,0.3463094579137876
300,0.3015647189176776
500,0.2994963065966769
700,0.31937798390325084
900,0.3031046758106583
1000,0.29821601771390327
1500,0.2684981072971058
2000,0.26016579622083674
2500,0.2279492780269578
3000,0.2209848819544442
3500,0.23022112204778306
4000,0.20894375608852842
5000,0.20472902372380186
7000,0.1929437745574571
8000,0.19736402718292057
9000,0.1771349726730126
10000,0.1873429802858519
12000,0.16788655686625684
14000,0.17546160474437567
16000,0.1739596963585444
18000,0.1735222024844541
20000,0.17225672287224036
25000,0.16097582985258135
30000,0.16605745437669958
50000,0.16355750074131936
75000,0.169375128113962
100000,0.1608746581064006
5000000,0.1719683977994429
